ppm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
3.5,0.0680702197087332,0.0750547107515867,0.0663358077983663,0.0453299818351636,0.120360895240306,0.0889854981846662,0.0738336654508586,0.0622790216291738,0.0643365424966987,0.0755452195348102,0.0445753770212595,0.0376298715762855,0.0622894892817635,0.0903068619069587,0.064935323464761,0.0644495695116708,0.0779024287817411,0.093123884738121,0.0657790254587791,0.0596649075230849,0.0712746040780552,0.083547844162059,0.115379999524531,0.0903086350228623,0.05870170269173,0.0776311201618009,0.0646636470560616,0.123829350610692,0.117067263035425,0.0472668595734897,0.077813754591303,0.0312265213126878,0.244667095552554,0.0577331233141452,0.0996843493628827,0.109860946956669,0.113744121482058,0.0710808902726667,0.0714356538176506,0.0535282919975328,0.0635290772925439,0.0904140350832706,0.0895238010729579,0.0625832159309041,0.0613681483327761,0.0737920494134824,0.0773597244685544,0.036559137719661,0.0315547960957873,0.0779270033796508,0.110878526422634,0.0707223255436252,0.106523650616687,0.0756903018501001,0.0605992281401405,0.0492160155924737,0.0450612693972133,0.0838046978129638,0.0970039182731045,0.0700597930596846,0.060323231087669,0.0812269260747368,0.0604416398607516,0.0229329143046538,0.0912598288333369,0.0700064480306825,0.0905348325583723,0.0538641361431987,0.0929337677447409,0.0482210609881668,0.0667052167915859,0.082156075223872,0.0469816215119367,0.060175931287561,0.0829204330582242,0.125405615186435,0.0671227852803625,0.0715124341720497,0.0851969574823778,0.108015188445331,0.112558325607727,0.0760886030023231,0.112560312874947,0.0541326071314913,0.0944286890710809,0.0705624799080078,0.0623111159973156,0.0730086510397525,0.0714368524880989,0.0481515511774423,0.109100977864767,0.0536813273361787,0.0883608747758913,0.0886818719421025
3.4995,0.066273724757615,0.0727127850160365,0.0790858533513484,0.0434682721981891,0.134252844220996,0.0996779702246098,0.0690511337885284,0.0595117958776881,0.061821054428496,0.0786649289814743,0.0452975782816519,0.0349022608939918,0.0680875432309729,0.0995507348165635,0.0632911488666336,0.0615377678225791,0.0689357098019007,0.0905608695476949,0.075812164554699,0.0673784993880478,0.0693704157745268,0.0772355043484511,0.109261228657743,0.0889726851598925,0.0585009084786139,0.0752889104531215,0.059416228268852,0.135116431111691,0.119670077712978,0.0472370997089883,0.0720461546301517,0.0282566752419397,0.294208515062342,0.0527381497732719,0.110474712925219,0.112908362580397,0.116092766782748,0.0664200670597072,0.0577842181139756,0.0488243084899255,0.0597406145808661,0.0858618586252251,0.0791697980520337,0.0682199004118773,0.0637244727522866,0.0659053348418519,0.0759152490246245,0.0343441122883469,0.0290093846223967,0.0753411863211233,0.120896904992929,0.0629815496672477,0.100146064274477,0.0864636014436553,0.0579213412414752,0.044104248622516,0.0404283584602642,0.0811785930368014,0.0894296990037273,0.0646640358807711,0.0517193785481743,0.0869987853311459,0.0568949519463907,0.0224487232676095,0.0860751459359463,0.0820373850882549,0.0982228643811288,0.050243638652092,0.0888228971015007,0.048450214926339,0.0663156360876008,0.0737553680245068,0.0434403711009186,0.0593987319732023,0.0772765683568927,0.104353933160027,0.0746074907090244,0.0713996432929766,0.097231128214015,0.106867288937262,0.117659134410576,0.0847271368368543,0.106223912371526,0.0569164492438583,0.0879206240892309,0.0715820306085356,0.0586663614411539,0.0709184965752673,0.0748406526141665,0.0527497841644416,0.115194438402069,0.0555416535941293,0.0973137359145859,0.0903091506324912
3.499,0.0629739838658933,0.0703176858222571,0.0874852728344324,0.042521229153725,0.148753956871649,0.106162000068643,0.0612031419907427,0.0519499320187794,0.0549501332459774,0.0865483627714135,0.0477779882109134,0.0329117551901231,0.0695252413770293,0.105254571409927,0.059326592133415,0.0565236808960611,0.0590286559324344,0.0885838307709904,0.084912595697768,0.0768206424161499,0.0633214114423726,0.0743446363092216,0.104373976254672,0.0875704062592569,0.0527125124330208,0.0684581051378445,0.0554501073898602,0.14795752569131,0.116571387573685,0.0487981555579201,0.0634516383853086,0.0255879095959616,0.291331253597741,0.0503563244151904,0.117673005401392,0.109066674174651,0.121245895351285,0.0639205861916209,0.0518230083265367,0.046301939085497,0.0516836313203633,0.0798120969246762,0.0749972873031866,0.0719864987163384,0.062409832596154,0.0604310853388325,0.0702843864595794,0.0331250784313119,0.0284562710801519,0.072169804906192,0.122433267193443,0.0533542040709167,0.0980053895547823,0.101851575481188,0.0554975155040194,0.0396610088306833,0.0400000542073343,0.0746664211501721,0.0818871999036551,0.0532310860202325,0.04377469864557,0.0915506238565694,0.0534683405797022,0.0204120986390863,0.0833440013656147,0.0924593303208947,0.106990247793778,0.0434955589562998,0.0836237006472275,0.046114874317393,0.0611154155911783,0.0605371517865489,0.0422016489080851,0.0547258800424044,0.0720916591687131,0.0899348954131765,0.084510672400288,0.069161634797685,0.109637089769871,0.10938481442731,0.116096357722009,0.0867787083016481,0.0972215624641713,0.0613453466427722,0.082939862559687,0.076601234715025,0.0572801941846919,0.0710918289372297,0.0758541512765544,0.0593260085960263,0.121218600800558,0.0537646931499788,0.105788507634961,0.091062454671826
3.4985,0.0591756220622111,0.0611546258020443,0.0857793052457747,0.0427918037879085,0.157217282342496,0.100671139312775,0.0538988993851003,0.0438033308673545,0.0486941369023756,0.0965666210699546,0.0511228297501945,0.0325986437214447,0.0677351862480574,0.105296911660355,0.0507243142541252,0.0555108246148323,0.047848535613474,0.0830321304206895,0.0927569766020233,0.0939079476807393,0.0521682719859598,0.066440105512443,0.0931110324278782,0.0776842920995562,0.0447276479106613,0.0595120160223517,0.0540065078504717,0.156273712022471,0.106353593618385,0.0526156992198711,0.0517483511912024,0.0212925603773508,0.21241965482082,0.0468758939847148,0.113888161106037,0.0929326394245937,0.132211687575283,0.0608032835748958,0.0480415698454415,0.0421666560014485,0.0448039327557214,0.0691932924202607,0.0715198946955702,0.0685886440726952,0.0514627355585224,0.0543189182270748,0.0597595495361034,0.0275193997048741,0.0263780227141453,0.0640564030768294,0.108779692886774,0.0440911160579178,0.0958450279959882,0.116831794510037,0.052108687518417,0.0342753899782645,0.0396039160739197,0.0600667343778148,0.0728464451420386,0.0405843906133378,0.0372542892044382,0.0972917006763486,0.0500117100760955,0.0165655198523142,0.0778284288769145,0.0954032543294089,0.124209391309157,0.0363094094777869,0.0768635241588053,0.0363639755845139,0.0520558812693347,0.0457951703180764,0.0389500822947096,0.0477498593604395,0.0583162003150037,0.0759556179186176,0.094808070429937,0.0603759162715105,0.119185707739957,0.129307130015146,0.10303230296367,0.0753801591001781,0.0821986065469834,0.0609377307455079,0.0799471950470259,0.0866995496310008,0.0589775233089759,0.0661670694951305,0.0621266235959087,0.0637658392617352,0.129246617444677,0.0464795479940268,0.115224497463345,0.0791445839515879
3.498,0.0578962908992791,0.053453461422163,0.0788487964350793,0.0444129177727509,0.141821372576917,0.0865176822435445,0.0500461195895372,0.0406123285106518,0.0481443682836961,0.0977844602790811,0.0491658583434091,0.0340870968683564,0.0683812565306362,0.0920026956767247,0.0449982324492258,0.0534878162918251,0.0415599846669352,0.0725528531816847,0.0915818281029716,0.103887737196195,0.0460069933048365,0.0576046852588463,0.0786113618641444,0.0678351220426967,0.0428736393396844,0.0564501367513012,0.0537612743158566,0.142228625033679,0.0905557797786803,0.0581638005676966,0.0444091468172237,0.0188290178924058,0.133384200417938,0.0437642809714,0.0963223687988582,0.0740021206441923,0.141014146348235,0.0547976125945158,0.0451024285115069,0.0382033266795015,0.0409375956696242,0.064833959086929,0.0643635044282098,0.0589773222585872,0.0426519120466345,0.0512921949598152,0.0544299793088605,0.0221503276340752,0.0234888568569229,0.0586561984566606,0.0877279510848275,0.0397525264685467,0.0865224551090118,0.111000404027775,0.049344503593807,0.0302466774876643,0.0371256402811146,0.0507125087527101,0.0673822819254118,0.0359287241002761,0.0318337179842585,0.101544451764681,0.0473861967944689,0.0144108410967938,0.0651166738190796,0.0897960632852716,0.135521704676893,0.0327873297470877,0.0694851147552328,0.0316845962505773,0.0497621889027398,0.0409006555794009,0.0365240490798906,0.0447903490444045,0.0465852197593082,0.0684089673909059,0.0925190526508607,0.0567052495136874,0.115571912453968,0.148103984459781,0.0854628841793408,0.0566698964577368,0.0690679511229532,0.0573695320246048,0.0758614416847001,0.0927163651710761,0.0581185530601821,0.0545750774824652,0.0485856997627917,0.0623426710025371,0.120342111437808,0.0442313031718619,0.114469156496571,0.0633367971938056
3.4975,0.0561699788252251,0.0530298524459527,0.0704158124669855,0.0426602824080525,0.121139836484834,0.0744394525157433,0.0475415916676365,0.0397614435870666,0.046461797366974,0.0943248444252216,0.0466795382099174,0.0349286784308663,0.0670333178617937,0.0794625986912628,0.0404764670114902,0.0497550644368997,0.0386363657360643,0.0655096976553613,0.0826549342795449,0.0941018837054299,0.0456278009705812,0.0519043843753216,0.0702402383722148,0.0646557466216785,0.0420218245107266,0.0546670256289215,0.0505880158291918,0.120611615263532,0.0808814139586753,0.0622937796766737,0.0416466733608244,0.0186067558415765,0.101807219657857,0.0434600056635845,0.0816862817269285,0.0644174830247379,0.138400081949511,0.0525255623062449,0.0411000259966214,0.0351375928435012,0.0388187427983226,0.065359421177877,0.0589803931119631,0.0502708134058719,0.0397044880136425,0.0502126655971144,0.0546111287664691,0.019739975233247,0.0216913799114617,0.0554892094607178,0.0713948525871561,0.0372777695608027,0.0775370272543296,0.0985414379278131,0.0479435259028245,0.0290532234538276,0.0358919458818608,0.0481653564150812,0.0650777578087486,0.0351693663838311,0.0289368030509489,0.0995286593303225,0.0457984941044903,0.0122788839419639,0.0579488379911006,0.078728012173614,0.12912875230861,0.0319460017038866,0.0653922329683733,0.0315749378590164,0.0480871712136863,0.0404174917660778,0.0362496451212028,0.0429641888987159,0.0409408698108944,0.069661177641556,0.0844568839259882,0.0568735113168948,0.108075779607509,0.146612571300056,0.0733678020112451,0.0507056843565541,0.0619850761321562,0.0524418734875857,0.0686035570378012,0.0897516085850057,0.0533398236270136,0.0480940301553309,0.0455292017138426,0.0564596736902352,0.10730369710331,0.0448408833227692,0.103165704321656,0.0561112640525907
3.497,0.052433610481876,0.0522702583613184,0.0604782478202934,0.0391678689066268,0.101216452546516,0.0625562034548068,0.0447977776385478,0.037540186102339,0.0436555418597059,0.0874780027129501,0.0469579345257007,0.0325483947017572,0.0629942651080197,0.0679296837553713,0.0359264892773034,0.0446867503929783,0.0346748584968231,0.0589124239258905,0.0688444691335576,0.0764593298116109,0.0441777398173626,0.0469143220906549,0.0641494737352538,0.0594557842964228,0.0395288897939987,0.0510173906285329,0.0477213549197914,0.0976099922227304,0.0722532937318445,0.0670768368556217,0.0393187589287142,0.0184031176935477,0.0821351685480959,0.0422411397556853,0.0689086231657532,0.0584557528280483,0.127627189146954,0.0518985305589193,0.0379239364027424,0.0326618763387812,0.0359440898157198,0.0689924046427976,0.0555228214204376,0.0429467012478782,0.0368324067658872,0.0494491452544499,0.0573163029061601,0.0190850726462726,0.0195903061407152,0.0512103345030746,0.0586117123032941,0.0343418552990265,0.0676876573416768,0.085323540770352,0.0482613193232472,0.0275534635535044,0.0338996259254245,0.0462301244842088,0.0618348928354289,0.0340792445253636,0.0260188517243545,0.0931090482060839,0.0449275520676305,0.0104544185093244,0.0534404806303435,0.0672952692266621,0.11755948862425,0.0331505531040232,0.0620076475100671,0.0307396080717434,0.0460453862929826,0.0381187179487009,0.0365137499619211,0.0405575432784195,0.0364694061738687,0.0733868565247186,0.0703610780945289,0.0557197160949015,0.0942526716782735,0.131411169584142,0.0631108874622934,0.0453719441304814,0.056193721866229,0.0477057574143524,0.0608694772107107,0.0819022390430117,0.0498000822711071,0.0425607557600498,0.0438575335590677,0.0495770588706375,0.0918781549460571,0.0435380983071117,0.0881905474035922,0.0506938253870768
3.4965,0.0481489331074354,0.0492097888253478,0.0514285938490105,0.0369821613680905,0.0819697968231405,0.0538276127225998,0.0416798568727354,0.0348451763151281,0.0406150986598916,0.0763153837720902,0.0495735339525935,0.0293178959681174,0.0588824644940089,0.0578604428127396,0.0323667314493459,0.0399603091469648,0.0319467240783107,0.052633319897038,0.0585733007095265,0.0615743753752077,0.04396504087987,0.0431315189383533,0.0571987336532153,0.0536181369453258,0.0367484188044729,0.0469252188339645,0.0471493474220066,0.0786522084692364,0.0644659360124587,0.070965804192376,0.0364451315196953,0.0187107543084718,0.067189572202146,0.0413286142027302,0.059117468501327,0.0529967112509992,0.11283346695164,0.0509978302791878,0.0403839326649165,0.0305877136355224,0.0349122124867185,0.0746363684620455,0.0502264092861131,0.0358651851319755,0.0349893857387494,0.0491587825458675,0.0606278022707277,0.0183167425736232,0.0180903171466566,0.0472579260867514,0.0481199524636113,0.0330207357285371,0.0580423089158968,0.0710770230920398,0.0491647024007039,0.0265363127540757,0.0322452976555868,0.0438292916114708,0.0586496749961456,0.0316606398682314,0.0240446944663741,0.0829951383174552,0.0455446646688305,0.0081882866200446,0.0471811258863951,0.0557075430650078,0.102064298324668,0.0352963049202837,0.0570792965192478,0.0272071892421739,0.0430370525215291,0.0346274656182933,0.0373342182204925,0.0366835830785557,0.033341591707844,0.0780620997478156,0.059171157536709,0.0535661304534459,0.0805888066285407,0.105778880620262,0.054412678288504,0.0394067600788232,0.0514901666924217,0.0410335451318173,0.0546912635607119,0.0716966149664497,0.0479491110793839,0.0377343172304336,0.0424543560240192,0.0424160136725733,0.0765800319472653,0.0409010719205896,0.0755034945567632,0.0458123062030213
3.496,0.0452165702989199,0.0454805319908035,0.0460971664625318,0.0364221718052708,0.0682356428160895,0.0471798791874578,0.0398961954406033,0.0328133505209907,0.0381545250035055,0.0636328470696723,0.0541294277317263,0.0268619005331766,0.0557215823388071,0.0505675125767397,0.0285082402711001,0.0374169482223128,0.0297542459269509,0.0458306518006236,0.0509394231325037,0.052428135809053,0.0445838285503269,0.0404133955098306,0.0505163433146515,0.0495970321955988,0.0346903648187427,0.0433757132559774,0.0471877521289709,0.0650117767438031,0.0595652338377798,0.0721984664060708,0.034639045197294,0.0189641762740446,0.0553197608285956,0.0407657949944189,0.0510553493366362,0.048658855145309,0.0981138694961838,0.0499789036897837,0.0417381544759805,0.0283092868848909,0.0343536941239466,0.0776530675348078,0.0444584533997513,0.0314560586940087,0.0318347578943755,0.0468053437316276,0.0622573458429323,0.0192156572306212,0.017480329515008,0.0430639346260609,0.0383901133411723,0.0319316362424014,0.0507379218944113,0.0590160421993416,0.0514483850885931,0.0257332088924325,0.027615108467212,0.0411844629368419,0.0559559298399563,0.031164886860312,0.0232154211009877,0.071985591592756,0.0463858456129292,0.00627492599334686,0.0431976627871503,0.0477661944914158,0.0890535843194007,0.0375596819940282,0.0519217365239484,0.0236131069827889,0.0418909153492549,0.0323068792107046,0.0383030106616249,0.0342036413426261,0.0297439257260002,0.0820630796623395,0.0503275303294646,0.0498298231020638,0.0699399913214798,0.0852826152783918,0.045103954401672,0.0329685601290865,0.0459590032034116,0.0364437689812335,0.0489203094360287,0.0618216713434316,0.0473080275005807,0.0318918475283925,0.0403163346223617,0.0365096220202999,0.06510356921075,0.0389562147986462,0.0663582248748581,0.0409950517249969
3.4955,0.0413814622004748,0.0408743343640714,0.0418416604091929,0.0372909257883268,0.0557626936486633,0.0400337157666638,0.0378753900816712,0.0325885247867955,0.036670503616695,0.0526627691881324,0.0677013380640551,0.0277676958073062,0.0533256043433226,0.0395923148050985,0.0258678863153583,0.0365019189892779,0.0287496685420543,0.0394639261683548,0.0422307963801471,0.0409097732770936,0.0470600022330564,0.0347139626896763,0.043708184696103,0.0441051369308895,0.0334862497803732,0.0404010563210789,0.0482001057704478,0.0509044294580578,0.0585501404522816,0.0734111161891445,0.0328965746638473,0.019370047672212,0.0431158273012937,0.0404398179185978,0.0432397087204022,0.0440241733784977,0.0817728663137601,0.0514075812411692,0.0418451295059434,0.0269863383141858,0.0358346470121002,0.0756200100936739,0.0383143852349788,0.0240130007150424,0.0283771084158322,0.0441301491672521,0.0615911272993527,0.0193463884568388,0.0171125184805374,0.0405006287148495,0.0311225310146466,0.0324619346516307,0.0422244084625143,0.0447226080021261,0.05437089971756,0.0248621165791159,0.02206694771421,0.0397349601386865,0.0534309157240821,0.0343677784381263,0.0231713771623592,0.0606977838319865,0.0478403545105935,0.00392137185891314,0.037501832732041,0.0371781262875388,0.072775078397623,0.0359323011832058,0.047232125057546,0.0235124055797738,0.0426989376765225,0.0325533913603592,0.039293878671192,0.0323612231124649,0.0272167148077997,0.0858248528113879,0.0417824858199136,0.0469878627555838,0.0590553851403663,0.0606339238482397,0.0360379294064387,0.0243448215406824,0.0392935671657026,0.0333484258485447,0.042099723314894,0.052394948080786,0.0509315767964114,0.0266226018168548,0.0382667154903714,0.0306250021973226,0.0544707757507144,0.0348417321675522,0.0554418803642595,0.0346971105339506
